;;;;;;;
STOCK OPNAME 31 AGUSTUS 2025;;;;;;;
SUDIN SDA (Jakarta Barat);;;;;;;
;;;;;;;
NO;GUDANG;KODE;NAMA ITEM/OBAT;TANGGAL OLEH;SATUAN;MERK/KEMASAN;STOCK;;;JUMLAH;;;;;;;;;;;;;;;
28;Gudang Posko Kembangan;1.1.7.01.01.01.012.00121;Plat Strip;2020-01-02;BATANG;;831
29;Gudang Posko Kembangan;1.1.7.01.01.01.012.00137;Besi UNP;2024-06-05;BATANG;100 x 50 x 5mm x 6meter, SNI; 9,00 
30;Gudang Posko Kembangan;1.1.7.01.01.01.015.00056;Saluran U Ditch;2020-01-02;UNIT;Terpasang, Ukuran 1000 x 1000 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi; 42,00 
31;Gudang Posko Kembangan;1.1.7.01.01.01.015.00057;Saluran U Ditch;2020-01-02;UNIT;Terpasang, Ukuran 1200 x 1200 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi; 10,00 
32;Gudang Posko Kembangan;1.1.7.01.01.01.015.00096;STU 800X1000X1200;2020-01-02;METER;U-DITCH PANJANG EFEKTIF 1.20 M U 800/1000; 13,20 
33;Gudang Posko Kembangan;1.1.7.01.01.01.024.05002;Sekrup;2024-11-25;DUS;Sekrup self-drilling, ukuran 10-12 x 19 mm; 14,00 
34;Gudang Posko Kembangan;1.1.7.01.01.01.024.05003;Sekrup;2024-11-25;DUS;Sekrup self-drilling, ukuran 10-16 x 16 mm; 191,00 
35;Gudang Posko Kembangan;1.1.7.01.01.01.027.00006;Paku Rivet;2023-11-30;KOTAK;2 Mm; 50,00 
36;Gudang Posko Kembangan;1.1.7.01.01.01.027.00020;Paku;2025-05-27;KG;"Biasa 2"" - 5"""; 97,90 
37;Gudang Posko Kembangan;1.1.7.01.01.01.027.05003;Paku;2024-11-25;DUS;Paku Gypsum, 25 mm; 19,00 
38;Gudang Posko Kembangan;1.1.7.01.01.05.001.00020;Kawat;2024-06-05;KG;Beton; 212,00 
39;Gudang Posko Kembangan;1.1.7.01.01.05.002.00011;Kayu Kaso Meranti;2024-11-21;BATANG;Kaso uk 5/7; 364,00 
40;Gudang Posko Kembangan;1.1.7.01.01.05.002.00057;Kayu Lapis;2025-05-27;LEMBAR;Multipleks Uk. (0,9 X 122 X 244)Cm; 261,00 
41;Gudang Posko Kembangan;1.1.7.01.01.05.002.00057;Kayu Lapis;2025-06-04;LEMBAR;Multipleks Uk. (0,9 X 122 X 244)Cm; 929,00 
42;Gudang Posko Kembangan;1.1.7.01.02.04.006.00012;Roll Meter;2024-11-01;BUAH;Pegangan Polimer, Uk. 100 M; 4,00 
43;Gudang Posko Kembangan;1.1.7.01.02.04.006.00017;Batu Gerinda;2020-01-02;BUAH;Duduk; 29,00 
44;Gudang Posko Kembangan;1.1.7.01.02.04.006.00017;Batu Gerinda;2022-04-22;BUAH;Duduk; 48,00 
45;Gudang Posko Kembangan;1.1.7.01.02.04.007.00002;Geotextile;2020-01-02;M2;Non Woven (Lokal), Warna Putih, Roll 4X100M, 150Gr/M2; 720,00 
46;Gudang Posko Kembangan;1.1.7.01.02.08.002.00021;Pahat Kayu;2024-07-24;BUAH;; 11,00 
47;Gudang Posko Kembangan;1.1.7.01.03.01.007.00016;Meteran;2023-11-30;BUAH;50 meter; 5,00 
48;Gudang Posko Kembangan;1.1.7.01.03.01.010.00002;Lem Pipa uPVC;2024-11-25;BUAH;400 Gr; 26,00 
49;Gudang Posko Kembangan;1.1.7.01.03.07.001.00034;Sapu Lantai;2024-07-24;BUAH;Bahan Plastik; 89,00 
50;Gudang Posko Kembangan;1.1.7.01.03.07.001.00037;SAPU LIDI;2024-07-24;BUAH;BERGAGANG; 65,00 
51;Gudang Posko Kembangan;1.1.7.01.03.07.001.00044;Sikat Bertangkai;2024-07-24;BUAH;Bahan Plastik, Bertangkai; 92,00 
52;Gudang Posko Kembangan;1.1.7.01.03.07.001.00095;Ijuk;2023-12-14;KG;; 90,00 
53;Gudang Posko Kembangan;1.1.7.01.03.07.002.00024;Stick Pell;2024-07-24;BUAH;Bahan Stailest Dan Plastik; 84,00 
54;Gudang Posko Kembangan;1.1.7.01.03.07.002.00075;PEMBERSIH LANTAI;2024-07-24;BUAH;"SEROKAN AIR/ WIPER KARET BERGAGANG; LOKAL STANDAR SNI"; 93,00 
55;Gudang Posko Kembangan;1.1.7.01.03.07.003.00025;Bak Plastik;2020-01-02;BUAH;Cat; 117,00 
56;Gudang Posko Kembangan;1.1.7.01.03.07.003.00080;Ember Plastik semen;2024-07-24;BUAH/METER;; 537,00 
57;Gudang Posko Kembangan;1.1.7.01.03.07.008.00176;Pembersih Lantai;2024-07-24;BOTOL;Ukuran 1 Ltr; 98,00 
58;Gudang Posko Kembangan;1.1.7.01.03.07.013.00004;KUAS ROLL;2022-04-19;BUAH;IMUNNDEX, BESAR; 52,00 
59;Gudang Posko Kembangan;1.1.7.01.03.08.002.00213;Lampu Sorot;2024-11-04;BUAH;250 Watt; 4,00 
60;Gudang Posko Kembangan;1.1.7.01.03.08.002.00222;Lampu Tl;2022-12-31;BUAH;"Bahan Dan Uk.Standar; (Panjang)"; 13,00 
