kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.020.00006,Karung,2024-09-30,BUAH,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",47500 
1.1.7.01.01.01.020.00006,Karung,2025-06-06,BUAH,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",1200.000 
1.1.7.01.01.01.020.00006,Karung,2025-07-02,BUAH,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",300000 
