kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.005.00009,Batu Pecah,2025-05-15,M3,Ukuran 2/3,665.00
1.1.7.01.01.01.005.00040,Batu Kali,2025-04-11,M3,Batu Belah,0
1.1.7.01.01.01.004.00004,Pasir,2025-05-15,M3,Beton,605.80
1.1.7.01.01.01.004.00005,PASIR,2025-07-25,M3,PASANG,825.50
1.1.7.01.01.05.002.00005,Kayu,2024-11-21,BATANG,Dolken Gelam,2087.00
1.1.7.01.01.01.015.00008,U-Ditch,2025-07-03,UNIT,Panjang Efektif 1.20 M U 400/ 400,4.00
1.1.7.01.01.01.015.00036,Tutup U-Ditch,2025-07-03,UNIT,"Tutup U-Ditch 400-100/ 600 Mm, Heavy Duty (Hd)",17.00
1.1.7.01.01.01.011.50002,Tiang Kolom Panel Beton Precast,2024-07-03,PCS,Uk. 160 mm x 180 mm x 300 cm min. K 225,57.00
1.1.7.01.01.01.011.00023,Pagar Panel,2024-07-03,BATANG,Panel 50X400X2400 Mm,73.00
