kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.019.00002,Kawat Bronjong,2020-01-02,UNIT,Uk. 100 x 50 x 200,313 
1.1.7.01.01.01.019.00002,Kawat Bronjong,2022-04-19,UNIT,Uk. 100 x 50 x 200,110 
