kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.05.01.004.00775,Wastafel,2024-11-25,BUAH,"Royal, Panjang",1
1.1.7.01.05.01.004.50264,Nampan,2024-11-25,BUAH,,10
1.1.7.01.05.01.004.50418,Telescopic,2024-11-01,UNIT,5 M,4
1.1.7.02.02.06.001.00001,Pipa kabel,2024-11-25,BATANG,Conduit 20mm,180
1.1.7.02.02.06.001.00004,Pipa Pvc Dia. 1/ 2,2024-11-25,BATANG,Type Aw,14
1.1.7.02.02.06.001.00107,Knee 90 Ukuran 2,2024-11-25,BUAH,Type Aw,102
1.1.7.02.02.06.001.00108,Knee 90 Ukuran 3,2020-01-02,BUAH,Type Aw,30
1.1.7.02.02.06.001.00110,Knee 90 Ukuran 6",2020-01-02,BUAH,Type Aw,33
1.1.7.02.02.06.001.00125,Pipa Pvc Dia. 4,2022-12-31,BATANG,Type Aw,264
1.1.7.02.02.06.001.00126,Pipa Pvc Dia. 5,2020-01-02,BATANG,Type Aw,178
1.1.7.02.02.06.001.00127,Pipa Pvc Dia. 6,2020-01-02,BATANG,Type Aw,250
1.1.7.02.02.06.001.00127,Pipa Pvc Dia. 6,2020-01-02,BATANG,Type Aw,200
1.1.7.02.02.06.001.00127,Pipa Pvc Dia. 6,2020-01-02,BATANG,Type Aw,28
1.1.7.02.02.06.001.00140,Valve Socket 1/2",2024-11-25,BUAH,Type AW,8
1.1.7.02.02.06.001.00158,Socket 2",2024-11-25,BUAH,Type AW,20
1.1.7.02.02.06.001.00165,Tee 2",2024-11-25,BUAH,Type AW,48
1.1.7.02.02.06.001.00191,Tee 1/2",2024-11-25,BUAH,Type AW,44
